,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,会社の満足度,職務満足度,会社の将来像への期待,顧客視点意識,貢献意欲,勤続意思,効果的チーム,理念・ビジョンの認知,理念・ビジョンの理解,公平な評価,活躍のチャンス,内容が変化に富んでいるか,技能多様性,タスク完結性,タスク重要性,自由・決定権があるか（自律性）,フィードバックはあるか,賃金の納得性,福利厚生の充実,ハラスメント,不平不満,社会的手抜き,安全管理,衛生管理,５Ｓ,労務管理,その他気になる箇所,知識付与（自身が受ける側）,部下育成知識（自身が教える側）,部下育成ツール（自身が教える側）,店長のリーダーシップ（指示型）,店長のリーダーシップ（支援・参加型）,店長のリーダーシップ（課題達成志向型）,店長の承認行動,店長の育成マインド,意見具申,上司の承認行動,上司の育成マインド,上司への意見具申,同僚との関係（フォロー）,同僚との関係（指摘）,同僚との関係（仕事以外）,同僚（他店店長）との関係,同僚（他店店長）との関係（指摘）,同僚（他店店長）との関係（仕事以外）,従業員のタイプ,権限委譲,公式化の度合い,傾聴スキル,役割の明確化,十分な資源,効果的なリーダーシップ,信頼関係のある環境,業績評価と報酬システム,メンバーの能力,パーソナリティ,役割の割り当て,多様性,チームの規模,メンバーの柔軟性,メンバーの嗜好,共通の目的,具体的な目標,チームの自信感,コンフリクトの程度
26-Feb,H01,外食事業本部,D02,店舗運営2部,S03,課3,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200014,,1015,1015店,パート･アルバイト,アルバイト,200154,,2016,1994/7/4,,25,0,0,1,,R200154,,,5,5,5,5,4,5,5,5,5,4,4,4,5,5,5,5,2,1,1,4,4,2,4,2,4,1,4,5,3,4,5,5,5,4,5,2,4,5,2,5,5,2,1,2,5,1,5,5,4,5,5,4,4,2,5,2,4,2,1,4,5,5,5,5,4
26-Feb,H01,外食事業本部,D03,店舗運営3部,S04,課4,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200015,,1016,1016店,パート･アルバイト,パート,200155,,2021,1979/10/28,,1,0,0,1,,R200155,,,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,5,5,4,3,3,3,3,5,3,4,3,3,5,5,5,2,4,3,3,3,3,3,3,3,3,3,5,5,3,3,3,3,5,3,4,3,3,5,1,4,1,1,4,5,3,3,3,3,5
26-Feb,H01,外食事業本部,D01,店舗運営1部,S01,課1,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200016,,1017,1017店,パート･アルバイト,パート,200156,,2005,1977/1/20,,21,0,0,1,,R200156,,,2,3,3,3,3,5,3,3,3,3,2,2,2,3,3,3,5,2,1,3,3,2,3,4,3,1,2,3,1,2,2,2,1,3,3,3,3,3,3,3,3,3,5,4,5,3,3,3,4,3,5,3,3,2,3,5,4,1,3,1,1,3,3,3,1
26-Feb,H01,外食事業本部,D02,店舗運営2部,S02,課2,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200017,,1018,1018店,パート･アルバイト,アルバイト,200157,,2009,1980/5/21,,0,0,0,1,,R200157,,,4,4,4,3,3,1,3,3,3,4,4,4,4,3,3,3,1,4,2,3,3,3,3,1,3,1,4,4,3,1,1,1,5,3,4,3,3,4,3,3,3,4,3,2,2,3,4,3,4,3,1,4,3,5,3,5,3,5,2,1,2,4,3,3,3
26-Feb,H01,外食事業本部,D03,店舗運営3部,S03,課3,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200018,,1019,1019店,パート･アルバイト,アルバイト,200158,,2007,1999/2/26,,2,0,0,1,,R200158,,,5,5,5,5,5,2,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,1,5,5,3,2,1,4,2,5,5,5,5,5,5,5,5,5,5,3,2,5,5,5,2,5,5,5,5,2,3,2,3,4,2,5,4,5,5,4,3
26-Feb,H01,外食事業本部,D01,店舗運営1部,S04,課4,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200019,,1020,1020店,パート･アルバイト,アルバイト,200159,,2012,1971/4/2,,8,0,0,1,,R200159,,,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,5,5,3,2,4,3,5,3,1,2,3,2,2,4,4,3,3,3,3,3,3,3,3,3,3,4,5,1,2,3,3,4,3,2,3,3,1,5,5,5,5,5,4,3,3,3,3,3
26-Feb,H01,外食事業本部,D02,店舗運営2部,S01,課1,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200000,,1001,1001店,パート･アルバイト,社員,200160,,2010,1983/12/10,,4,0,0,1,,R200160,,,5,5,5,5,5,4,5,3,4,5,5,5,5,5,5,5,5,2,4,5,5,3,5,5,5,1,5,5,3,5,1,2,1,5,5,5,5,5,5,5,5,4,2,2,5,4,5,4,3,5,4,4,5,4,3,2,1,4,5,2,4,4,4,4,5
26-Feb,H01,外食事業本部,D03,店舗運営3部,S02,課2,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200001,,1002,1002店,パート･アルバイト,パート,200161,,2013,1999/4/24,,0,0,0,1,,R200161,,,3,3,3,3,3,3,3,3,3,3,2,3,2,3,5,4,4,2,2,3,4,4,3,4,2,3,3,3,5,4,5,2,1,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,1,3,5,3,3,1,5,2,1,2,4,2,5,3,3,3,3
26-Feb,H01,外食事業本部,D01,店舗運営1部,S03,課3,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200002,,1003,1003店,パート･アルバイト,社員,200162,,2006,1998/8/22,,18,0,0,1,,R200162,,,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,2,1,2,5,5,2,5,2,5,1,5,5,2,2,2,4,1,5,5,5,5,5,5,5,5,5,4,2,2,5,5,5,4,5,1,5,5,4,3,3,1,1,3,4,2,5,5,5,4
26-Feb,H01,外食事業本部,D02,店舗運営2部,S04,課4,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200003,,1004,1004店,パート･アルバイト,社員,200163,,2017,1990/11/20,,12,0,0,1,,R200163,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,5,5,5,5,5,5,2,5,5,5,3,3,4,4,5,5,5,5,5,5,5,5,5,1,4,1,5,5,5,2,5,3,5,5,3,5,3,5,1,2,5,2,5,5,5,4
26-Feb,H01,外食事業本部,D03,店舗運営3部,S01,課1,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200004,,1005,1005店,パート･アルバイト,パート,200164,,2025,2000/11/9,,11,0,0,1,,R200164,,,5,5,5,5,5,1,4,3,4,5,5,5,5,5,5,5,3,2,3,5,5,5,3,3,4,5,4,5,2,5,2,1,3,5,5,5,5,5,5,5,5,4,2,2,1,4,4,4,1,5,5,3,4,4,4,5,3,3,4,3,3,4,4,5,3
26-Feb,H01,外食事業本部,D01,店舗運営1部,S02,課2,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200005,,1006,1006店,パート･アルバイト,パート,200165,,2023,2005/3/22,,18,0,0,1,,R200165,,,3,3,3,3,3,2,3,3,3,3,2,3,3,5,3,3,2,2,3,3,3,4,3,5,3,4,3,3,3,2,1,3,1,3,3,3,3,3,3,5,5,5,4,3,1,5,3,3,1,3,4,3,3,2,5,4,2,2,2,5,2,3,3,3,5
26-Feb,H01,外食事業本部,D02,店舗運営2部,S03,課3,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200006,,1007,1007店,パート･アルバイト,アルバイト,200166,,2015,1989/1/24,,18,0,0,1,,R200166,,,5,5,5,5,5,3,5,5,5,5,5,4,5,5,5,4,4,4,3,5,4,1,5,1,5,2,4,5,3,5,3,2,5,5,5,5,5,5,5,5,5,5,4,2,4,2,4,4,4,5,3,5,5,1,3,3,5,2,1,2,1,5,5,5,5
26-Feb,H01,外食事業本部,D03,店舗運営3部,S04,課4,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200007,,1008,1008店,パート･アルバイト,アルバイト,200167,,2005,1987/5/11,,24,0,0,1,,R200167,,,4,5,4,3,3,4,5,5,4,5,2,5,5,5,5,3,4,3,4,5,5,2,5,1,4,2,5,5,5,3,3,2,2,5,5,5,5,5,5,4,5,5,5,2,1,2,3,3,5,4,2,2,5,4,3,5,2,3,4,3,3,5,5,5,2
26-Feb,H01,外食事業本部,D01,店舗運営1部,S01,課1,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200008,,1009,1009店,パート･アルバイト,アルバイト,200168,,2014,1990/10/1,,5,0,0,1,,R200168,,,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,5,2,5,5,4,5,4,3,1,4,5,1,1,4,4,3,5,5,5,5,5,5,5,5,5,2,1,4,5,5,5,4,5,4,3,5,5,5,4,5,5,2,4,2,5,4,4,5
26-Feb,H01,外食事業本部,D02,店舗運営2部,S02,課2,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200009,,1010,1010店,パート･アルバイト,アルバイト,200169,,2011,1987/11/22,,0,0,0,1,,R200169,,,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,3,5,5,5,5,5,5,1,2,5,3,5,5,5,5,5,5,5,5,5,5,1,1,4,5,5,5,5,5,2,5,5,3,1,2,5,4,5,3,4,5,5,5,1
26-Feb,H01,外食事業本部,D03,店舗運営3部,S03,課3,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200010,,1011,1011店,パート･アルバイト,社員,200170,,2005,1988/3/19,,12,0,0,1,,R200170,,,2,2,3,4,3,5,3,3,2,3,2,2,2,2,3,2,1,4,5,5,3,4,2,1,2,2,1,2,3,2,3,3,5,3,3,2,3,3,2,4,2,3,4,5,3,2,2,3,2,3,3,1,2,2,4,3,2,4,3,2,4,3,3,2,2
26-Feb,H01,外食事業本部,D01,店舗運営1部,S04,課4,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200011,,1012,1012店,パート･アルバイト,社員,200171,,2025,1974/9/24,,2,0,0,1,,R200171,,,3,3,4,4,4,4,3,4,4,3,3,3,4,4,2,3,1,5,5,3,3,5,3,5,3,4,3,3,1,2,3,1,4,3,3,3,3,3,3,3,4,2,4,5,2,2,4,3,2,4,4,3,4,2,5,1,4,5,5,2,2,3,4,3,1
26-Feb,H01,外食事業本部,D02,店舗運営2部,S01,課1,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200012,,1013,1013店,パート･アルバイト,アルバイト,200172,,2011,1971/7/15,,17,0,0,1,,R200172,,,5,5,3,5,3,1,3,3,3,3,2,5,3,2,3,4,4,3,1,5,2,5,4,1,5,1,5,3,1,3,4,4,1,3,3,3,3,3,3,5,3,4,2,3,5,2,3,4,4,2,2,2,3,1,5,1,4,4,2,5,1,4,4,3,4
26-Feb,H01,外食事業本部,D03,店舗運営3部,S02,課2,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200013,,1014,1014店,パート･アルバイト,パート,200173,,2009,1971/5/6,,6,0,0,1,,R200173,,,4,4,5,5,5,2,5,5,5,5,4,5,5,4,5,5,5,1,2,5,3,1,5,3,3,3,2,5,3,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,3,5,5,4,5,4,3,1,2,1,4,3,2,5,4,4,2
26-Feb,H01,外食事業本部,D01,店舗運営1部,S03,課3,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200014,,1015,1015店,パート･アルバイト,パート,200174,,2013,2001/2/9,,16,0,0,1,,R200174,,,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,3,3,1,5,4,3,4,2,5,2,5,5,1,5,1,5,1,5,5,4,5,5,4,5,4,5,4,1,3,2,5,5,4,5,1,4,4,2,2,2,1,3,5,3,5,5,5,5,2
26-Feb,H01,外食事業本部,D02,店舗運営2部,S04,課4,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200015,,1016,1016店,パート･アルバイト,アルバイト,200175,,2007,1977/6/6,,18,0,0,1,,R200175,,,5,5,3,4,5,1,4,5,4,5,4,5,5,4,4,4,3,2,2,4,2,5,4,5,4,4,5,5,5,3,5,3,1,4,5,5,4,5,5,5,5,5,2,1,2,5,4,4,3,5,5,3,5,3,3,3,2,5,2,3,1,3,3,2,3
26-Feb,H01,外食事業本部,D03,店舗運営3部,S01,課1,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200016,,1017,1017店,パート･アルバイト,アルバイト,200176,,2025,1979/2/27,,12,0,0,1,,R200176,,,2,3,1,4,2,3,4,2,2,4,4,3,3,4,4,4,5,3,5,4,2,2,2,2,3,3,4,3,5,3,5,1,3,4,4,4,4,4,4,5,4,5,1,3,5,5,4,4,4,4,5,1,4,4,2,1,5,2,1,4,3,3,3,3,4
26-Feb,H01,外食事業本部,D01,店舗運営1部,S02,課2,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200017,,1018,1018店,パート･アルバイト,社員,200177,,2010,1997/2/6,,22,0,0,1,,R200177,,,4,4,3,3,3,5,3,3,3,4,3,4,4,4,4,4,2,2,3,3,3,4,3,1,3,2,3,4,1,2,5,1,4,3,3,3,3,3,3,4,3,3,3,2,2,4,3,3,4,3,5,3,3,3,5,5,1,4,2,4,2,4,3,3,5
26-Feb,H01,外食事業本部,D02,店舗運営2部,S03,課3,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200018,,1019,1019店,パート･アルバイト,アルバイト,200178,,2019,1987/8/18,,5,0,0,1,,R200178,,,5,5,4,5,5,3,5,3,3,5,5,5,5,5,3,3,3,1,4,2,5,3,2,5,5,3,1,5,1,5,5,1,2,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,3,5,5,5,5,1,1,3,1,1,4,2,5,5,5,5,5
26-Feb,H01,外食事業本部,D03,店舗運営3部,S04,課4,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200019,,1020,1020店,パート･アルバイト,社員,200179,,2012,1995/9/12,,21,0,0,1,,R200179,,,4,4,4,4,4,5,4,4,4,5,4,4,4,5,4,5,3,5,1,4,4,5,4,4,4,2,4,4,4,5,3,4,2,4,4,4,4,4,4,4,4,4,2,5,1,4,4,4,4,4,5,4,4,5,3,3,2,1,4,2,2,4,4,4,3
26-Feb,H01,外食事業本部,D01,店舗運営1部,S01,課1,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200000,,1001,1001店,パート･アルバイト,社員,200180,,2021,1983/3/2,,8,0,0,1,,R200180,,,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,3,5,3,5,5,3,5,1,5,4,5,5,1,4,3,1,3,5,5,5,5,5,5,5,5,5,3,4,1,5,5,5,2,5,1,5,5,5,3,2,3,1,1,1,2,5,5,5,1
26-Feb,H01,外食事業本部,D02,店舗運営2部,S02,課2,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200001,,1002,1002店,パート･アルバイト,アルバイト,200181,,2005,1999/11/22,,16,0,0,1,,R200181,,,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,1,5,5,5,2,3,4,5,5,5,5,5,5,5,5,5,5,1,3,4,5,5,5,2,5,2,5,5,1,4,2,1,2,5,1,3,5,5,5,5
26-Feb,H01,外食事業本部,D03,店舗運営3部,S03,課3,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200002,,1003,1003店,パート･アルバイト,社員,200182,,2010,1995/6/12,,25,0,0,1,,R200182,,,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,5,5,5,2,5,5,4,1,4,1,2,5,5,5,5,5,5,5,5,5,5,3,1,5,5,5,2,5,1,5,5,1,1,4,1,4,1,2,5,5,5,5,2
26-Feb,H01,外食事業本部,D01,店舗運営1部,S04,課4,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200003,,1004,1004店,パート･アルバイト,パート,200183,,2014,1990/4/16,,22,0,0,1,,R200183,,,3,3,3,4,3,5,3,4,4,4,4,3,4,4,4,4,1,5,1,3,3,3,4,5,3,3,3,3,4,3,5,2,3,4,4,4,4,4,4,4,3,5,3,3,2,2,4,3,2,4,5,3,4,1,1,1,4,3,4,1,1,4,3,3,3
26-Feb,H01,外食事業本部,D02,店舗運営2部,S01,課1,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200004,,1005,1005店,パート･アルバイト,社員,200184,,2021,1981/10/5,,21,0,0,1,,R200184,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5,3,4,3,5,5,5,5,5,2,5,5,3,3,4,1,4,3,5,4,5,5,5,5
26-Feb,H01,外食事業本部,D03,店舗運営3部,S02,課2,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200005,,1006,1006店,パート･アルバイト,アルバイト,200185,,2018,1975/11/2,,3,0,0,1,,R200185,,,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,4,5,4,5,5,5,1,2,2,4,5,5,5,5,5,5,5,5,5,2,5,2,5,5,5,2,5,5,5,5,2,1,4,4,4,2,3,2,5,5,5,2
26-Feb,H01,外食事業本部,D01,店舗運営1部,S03,課3,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200006,,1007,1007店,パート･アルバイト,パート,200186,,2014,1983/10/1,,6,0,0,1,,R200186,,,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,4,5,2,2,5,4,4,2,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,3,5,4,5,5,5,1,5,1,5,5,5,3,2,1,2,2,4,4,5,5,5,5
26-Feb,H01,外食事業本部,D02,店舗運営2部,S04,課4,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200007,,1008,1008店,パート･アルバイト,社員,200187,,2014,2002/7/22,,3,0,0,1,,R200187,,,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,3,1,2,5,5,3,5,2,5,4,5,5,2,4,4,1,4,5,5,5,5,5,5,5,5,5,3,2,1,5,5,5,3,5,2,5,5,1,3,4,3,1,4,1,1,5,5,5,4
26-Feb,H01,外食事業本部,D03,店舗運営3部,S01,課1,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200008,,1009,1009店,パート･アルバイト,アルバイト,200188,,2012,1972/1/7,,7,0,0,1,,R200188,,,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,5,1,3,3,4,3,5,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,5,2,3,3,3,1,3,1,3,3,5,3,5,4,4,2,2,1,3,3,3,4
26-Feb,H01,外食事業本部,D01,店舗運営1部,S02,課2,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200009,,1010,1010店,パート･アルバイト,アルバイト,200189,,2010,1989/5/1,,23,0,0,1,,R200189,,,5,5,5,5,5,2,5,5,5,5,5,4,4,4,4,5,5,2,4,5,4,1,5,2,5,1,5,5,3,5,2,1,2,5,5,5,5,5,5,5,5,5,5,4,1,5,5,5,5,5,5,4,5,2,3,2,4,1,5,1,5,5,5,4,3
26-Feb,H01,外食事業本部,D02,店舗運営2部,S03,課3,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200010,,1011,1011店,パート･アルバイト,アルバイト,200190,,2024,1984/5/27,,20,0,0,1,,R200190,,,4,3,4,3,5,1,3,4,3,4,4,3,3,3,4,4,1,5,2,5,3,1,5,4,4,1,4,5,1,5,3,2,5,5,5,5,5,5,5,3,3,4,5,3,5,2,4,4,3,4,5,3,3,1,2,3,2,3,3,1,4,3,4,3,1
26-Feb,H01,外食事業本部,D03,店舗運営3部,S04,課4,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200011,,1012,1012店,パート･アルバイト,アルバイト,200191,,2019,1993/2/20,,20,0,0,1,,R200191,,,4,4,5,5,3,4,3,5,5,5,5,5,5,5,5,5,2,3,1,5,5,2,5,5,5,2,5,1,1,1,2,2,4,5,4,5,5,4,5,4,5,5,3,2,4,5,5,4,3,5,1,3,4,3,5,2,1,1,1,1,2,3,3,5,4
26-Feb,H01,外食事業本部,D01,店舗運営1部,S01,課1,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200012,,1013,1013店,パート･アルバイト,社員,200192,,2025,1992/2/2,,11,0,0,1,,R200192,,,3,5,5,4,4,3,3,5,4,3,4,5,5,5,5,2,1,5,3,5,3,4,3,5,5,4,4,3,5,2,1,5,3,2,4,2,2,4,2,4,2,4,5,3,5,4,4,3,5,4,2,1,3,2,4,3,5,5,3,4,4,3,4,4,4
26-Feb,H01,外食事業本部,D02,店舗運営2部,S02,課2,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200013,,1014,1014店,パート･アルバイト,アルバイト,200193,,2016,1993/7/27,,12,0,0,1,,R200193,,,3,5,5,5,5,1,3,2,3,5,4,5,5,5,5,4,2,4,3,5,5,5,3,4,3,3,2,3,2,1,5,3,5,3,5,5,3,5,5,5,5,3,3,2,5,1,5,4,2,5,1,2,4,1,3,5,1,5,3,1,1,5,5,3,3
26-Feb,H01,外食事業本部,D03,店舗運営3部,S03,課3,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200014,,1015,1015店,パート･アルバイト,パート,200194,,2022,1977/10/14,,14,0,0,1,,R200194,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,2,3,3,3,2,3,3,2,3,5,4,3,3,3,3,3,3,3,3,3,3,1,4,1,3,3,3,4,3,5,3,3,4,2,1,4,1,2,3,5,3,3,3,2
26-Feb,H01,外食事業本部,D01,店舗運営1部,S04,課4,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200015,,1016,1016店,パート･アルバイト,パート,200195,,2011,1997/6/5,,22,0,0,1,,R200195,,,5,5,4,5,5,2,5,4,4,5,4,4,5,5,5,5,3,2,4,5,5,3,3,2,5,3,4,5,1,5,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,2,5,1,5,5,3,2,1,5,3,1,5,2,5,3,3,5
26-Feb,H01,外食事業本部,D02,店舗運営2部,S01,課1,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200016,,1017,1017店,パート･アルバイト,社員,200196,,2013,1990/9/16,,0,0,0,1,,R200196,,,5,5,4,5,4,1,5,5,3,4,3,3,3,5,4,5,4,5,4,5,5,1,5,4,5,5,5,5,1,1,2,4,4,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,4,5,2,2,5,4,4,5,5,1,2,3,4,5,4,5,1
26-Feb,H01,外食事業本部,D03,店舗運営3部,S02,課2,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200017,,1018,1018店,パート･アルバイト,社員,200197,,2010,1999/7/15,,21,0,0,1,,R200197,,,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,5,4,4,5,4,3,5,5,4,1,4,3,4,4,1,4,4,3,3,3,3,3,3,4,3,3,3,2,1,2,3,2,2,3,5,3,3,3,3,5,3,5,4,1,1,3,3,3,1
26-Feb,H01,外食事業本部,D01,店舗運営1部,S03,課3,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200018,,1019,1019店,パート･アルバイト,アルバイト,200198,,2021,2005/5/20,,13,0,0,1,,R200198,,,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,4,3,3,1,3,3,3,2,3,3,2,4,2,2,5,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,5,3,3,3,1,5,3,4,3,2,5,3,3,3,2
26-Feb,H01,外食事業本部,D02,店舗運営2部,S04,課4,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200019,,1020,1020店,パート･アルバイト,アルバイト,200199,,2010,1982/4/6,,21,0,0,1,,R200199,,,4,4,3,5,4,2,2,5,5,2,4,2,3,5,5,5,5,3,5,4,2,5,5,4,5,4,5,4,5,4,5,5,1,4,2,4,4,2,4,4,4,5,2,1,1,5,3,2,1,4,2,3,4,2,2,2,3,3,2,2,3,5,2,4,2
26-Feb,H01,外食事業本部,D03,店舗運営3部,S01,課1,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200000,,1001,1001店,パート･アルバイト,パート,200200,,2019,1982/4/22,,18,0,0,1,,R200200,,,3,3,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,2,1,3,3,2,3,1,3,4,3,3,5,3,2,5,1,3,3,3,3,3,3,3,3,4,1,4,1,3,3,3,5,3,3,3,3,2,1,4,4,5,5,3,4,3,3,3,1
26-Feb,H01,外食事業本部,D01,店舗運営1部,S02,課2,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200001,,1002,1002店,パート･アルバイト,アルバイト,200201,,2008,1995/3/18,,23,0,0,1,,R200201,,,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,3,5,4,5,5,5,2,2,5,4,5,5,5,5,5,5,5,5,5,2,4,3,5,5,5,3,5,1,5,5,4,5,4,5,4,1,5,4,5,5,5,1
26-Feb,H01,外食事業本部,D02,店舗運営2部,S03,課3,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200002,,1003,1003店,パート･アルバイト,パート,200202,,2012,1989/1/1,,1,0,0,1,,R200202,,,4,4,4,3,4,2,4,5,4,5,5,4,4,4,3,4,2,2,2,5,4,5,3,4,4,5,5,4,1,3,3,5,3,4,4,5,4,4,5,5,5,5,4,3,2,2,4,4,2,3,3,3,4,1,2,5,1,1,5,3,5,4,4,4,3
26-Feb,H01,外食事業本部,D03,店舗運営3部,S04,課4,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200003,,1004,1004店,パート･アルバイト,パート,200203,,2017,1998/3/2,,5,0,0,1,,R200203,,,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,5,5,5,3,2,1,3,3,3,3,2,3,2,2,2,1,4,3,3,3,3,3,3,3,3,3,1,2,2,2,3,2,3,3,3,3,5,3,1,2,3,4,2,3,3,3,3,3,5
26-Feb,H01,外食事業本部,D01,店舗運営1部,S01,課1,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200004,,1005,1005店,パート･アルバイト,アルバイト,200204,,2020,1983/8/14,,17,0,0,1,,R200204,,,3,3,2,3,3,4,3,4,2,2,3,4,4,3,3,2,1,3,4,3,2,3,3,1,3,1,3,3,2,4,5,4,5,3,3,3,3,3,3,4,4,4,3,1,2,1,3,3,1,3,3,3,3,5,3,2,4,1,3,4,1,3,3,3,3
26-Feb,H01,外食事業本部,D02,店舗運営2部,S02,課2,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200005,,1006,1006店,パート･アルバイト,アルバイト,200205,,2010,1983/2/17,,3,0,0,1,,R200205,,,3,3,3,3,3,5,3,3,2,3,3,2,3,5,2,2,1,1,3,4,3,5,3,4,4,1,2,3,2,4,5,5,1,3,3,4,3,3,4,5,5,4,3,2,5,2,4,2,2,4,5,3,4,4,4,2,4,4,2,2,3,3,3,3,5
26-Feb,H01,外食事業本部,D03,店舗運営3部,S03,課3,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200006,,1007,1007店,パート･アルバイト,アルバイト,200206,,2012,1995/3/16,,8,0,0,1,,R200206,,,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,5,2,3,3,3,5,3,2,3,5,3,3,5,2,1,3,2,3,3,3,3,3,3,3,3,3,3,5,4,3,3,3,1,3,1,3,3,3,3,1,1,3,5,4,5,3,3,3,4
26-Feb,H01,外食事業本部,D01,店舗運営1部,S04,課4,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200007,,1008,1008店,パート･アルバイト,社員,200207,,2020,1979/2/17,,10,0,0,1,,R200207,,,2,3,5,3,4,1,4,5,4,5,5,4,4,5,5,5,2,3,3,2,1,2,2,4,4,1,2,3,3,1,5,5,1,4,4,3,4,4,3,5,5,5,3,4,4,5,4,4,2,4,1,5,3,3,2,3,2,5,4,5,2,3,3,3,1
